"","logFC","logCPM","LR","PValue","FDR"
"LOC115712746",0.269361388417066,7.78575319232321,12.8345291022579,0.000340281086343049,0.0237047162175462
"LOC133028983",0.267056104156138,7.79796668183022,12.7411647506721,0.000357694867541573,0.0245855605623575
"LOC115704903",-0.243084367741002,8.02744308933967,12.6415785345531,0.000377261291081396,0.0255892362569026
"LOC115708105",-0.211214310309644,8.37650313754844,12.5161089386019,0.000403458250137647,0.0270107438890853
"LOC115698237",0.274962833832125,7.70112141574342,12.4867039144376,0.000409858705426915,0.0270874567496891
"LOC133031393",-0.28672588203399,7.59221119585591,12.3766233929159,0.000434742646069305,0.0283683334238895
"LOC115716038",0.275349062258764,7.68440359322533,12.3523927981667,0.000440421622124683,0.0283796682756592
"LOC115706963",-0.270526340260429,7.7244762219227,12.2836583495758,0.000456941771353875,0.0290806769299904
"LOC133037470",-0.237501246196442,8.04040746619529,12.1932884150687,0.000479617612366286,0.0299044581900241
"LOC115694846",-0.254326238871389,7.86735126497655,12.1860283545518,0.000481487881624055,0.0299044581900241
"LOC115700549",-0.26528217766346,7.75310663743585,12.0914072741763,0.00050654727067303,0.0310863235752318
"LOC133033282",-0.238640733503289,8.01414265918357,12.0587597372099,0.000515495767097098,0.0312633021104181
"LOC115712234",-0.236230426521623,8.02863100061718,11.9526692978392,0.000545691458788006,0.0326074410270045
"LOC115715641",-0.273885178331564,7.6591625163147,11.9369672923039,0.000550309867963024,0.0326074410270045
"LOC133039947",-0.248967072051007,7.88508622174325,11.8464252940272,0.00057772139979487,0.0338426569993472
"LOC115725319",-0.249359270047865,7.85855801998288,11.6347728789788,0.000647302458268265,0.0371067097100677
"LOC115716646",-0.260432029394881,7.75075343110493,11.633235149839,0.00064783780289158,0.0371067097100677
"LOC115704971",-0.241314892422101,7.93471328938292,11.580061375274,0.000666627413378278,0.0377633441314838
"LOC115716827",-0.256824225950113,7.77487480963597,11.5371443367335,0.00068219346200554,0.0381309961612325
"LOC115719770",0.254582093918514,7.79142835651768,11.521627744831,0.00068791127895143,0.0381309961612325
"LOC115718476",-0.263877821081469,7.70415503285443,11.4988721021393,0.000696384344847447,0.0381900138051978
"LOC115711410",-0.244477707899535,7.85841360466801,11.1843056792871,0.000824921195108223,0.0446023949947666
"LOC115724625",-0.218823059358574,8.13732758758047,11.1715392589805,0.000830616861202249,0.0446023949947666
"LOC115712469",-0.241351884970748,7.88382664261337,11.1245669234082,0.00085191765307266,0.0452745927998924
"LOC133039944",-0.246028436020886,7.83311375939537,11.0991245928181,0.000863684788002016,0.0454315824709223
"LOC115700587",-0.239258348077767,7.89724096459705,11.0505780989369,0.000886595491085985,0.046165654106548
"LOC115697365",-0.207384478387543,8.25714846231538,11.012761212281,0.000904867503718829,0.0464796177360208
"LOC115699708",-0.235601338792688,7.92975847339021,10.9970482388312,0.00091257107221596,0.0464796177360208
